Id,ValueAttribute,Value,StringValue,Measure,Type waarde,Beroepsklasse,Perioden,RegioCode,RegioS
241,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0590,Papendrecht
242,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1894,Peel en Maas
243,None,6.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0765,Pekela
244,None,32.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1926,Pijnacker-Nootdorp
245,None,50.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0439,Purmerend
246,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0273,Putten
247,None,22.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0177,Raalte
248,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0703,Reimerswaal
249,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0274,Renkum
250,None,3.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0339,Renswoude
251,None,8.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1667,Reusel-De Mierden
252,None,22.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0275,Rheden
253,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0340,Rhenen
254,None,24.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0597,Ridderkerk
255,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1742,Rijssen-Holten
256,None,29.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0603,Rijswijk (ZH.)
257,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1669,Roerdalen
258,None,31.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0957,Roermond
259,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0736,De Ronde Venen
260,None,41.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1674,Roosendaal
261,None,345.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0599,Rotterdam
262,None,1.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0277,Rozendaal
263,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0840,Rucphen
264,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0441,Schagen
265,None,6.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0279,Scherpenzeel
266,None,43.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0606,Schiedam
267,None,1.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0088,Schiermonnikoog
268,None,18.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1676,Schouwen-Duiveland
269,None,5.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0965,Simpelveld
